Tweet,sentimen
"Reksa dana  menurut ojkindonesia  adalah instrumen investasi yang cocok bagi investor yang waktu, dana,  pengetahuan investasinya terbatas. Namun keterbatasan itu diatasi dengan kehadiran manajer investasi.",1
"Sobat OJK, sudah mulai berinvestasi belum? Kali ini admin mau kasih tahu salah satu produk investasi, cocok buat kamu yang memiliki keterbatasan waktu dan dana yaitu Reksa Dana.",1
"Kalau kamu tidak punya tujuan keuangan, kamu akan menghabiskan uangmu dengan kamu-kamu sesaat kamu mendapatkannya. Yuk buat kamu yang baru gajian coba rencanakan pos-pos pengeluaranmu dan selalu berinvestasi.",1
"Menurut Charlie Munger,  seorang investor dan businessman asal Amerika, dalam berinvestasi, Waktu (Time) lebih penting dibandingkan dengan Pemilihan Waktu (Timing). Kamu setuju tidak?",1
Bibit Reksadana [ Reborn ] A Thread/Sebuah Utas Kali ini gue mau ngenalin aplikasi investasi reksadana yaitu Bibit. Bibit menyediakan 4 jenis reksadana pasar uang,1
"Meskipun belum se-populer emas,  investasi reksa dana dianggap lebih mudah dan menguntungkan bagi sebagian orang.",1
Investasi di Pasar Modal - Menyikapi dengan bijak untuk masa depan keuangan yang lebih baik.,1
"Mudah sekali investasi di bareksa_com, kita pilih reksadana nya mau yang mana, terus masukkin berapa yang mau diinvest, terus investnya pakai ovo_id, keren dan mudah  ",1
Reksadana produk Investasi paling Aman dan yang masih relatible banget untuk gue .,1
"Di tengah pandemi Covid-19 ini, waktunya kamu mulai coba berinvestasi. Kamu bisa coba produk Reksadana lo! Yuk, cari tahu tentang Reksadana dan manfaatnya.",1
Bibit mengakui telah bertindak tergesa-gesa terkait pembekuan sementara reksa dana PT Sinarmas Asset Management.,0
"Berinvestasi Di ReksaDana, Cara Tepat Milenial Wujudkan 1001 Impian",1
"Wahai generasi milenial, kini saatnya dirimu berinvestasi 😎😎 Masa Muda Saatnya Pilih Investasi Terbaik untuk Masa Depanmu",1
Gonjang-ganjing di pasar modal belakangan ini meningkatkan kekhawatiran para pelaku pasar. Investor ramai-ramai tarik modal reksa dana?,0
DAHULU... ASURANSI hanya bisa di miliki oleh golongan orang berada... REKSADANA juga hanya bisa di miliki oleh kelas atas... PENSIUNAN juga hanya bisa di miliki oleh pegawai negeri... TAPI SEKARANG SUDAH BEDA…,1
"IHSG di atas 5.000, reksadana saham bakal kecipratan berkah",1
"Mulai atur keuangan, bikin list prioritas dan wujudkan bersama Simas Fund. Karena kebahagiaan keluarga adalah prioritas utama kita. Selamat berakhir pekan bersama keluarga :)",1
buat yang ingin tahu cara beli reksadana bagaimana sih??? Pasti ribet ☹️☹️. Ternyata cuma butuh 4 menitt saja semudah pesan gofood,1
PT PNM Investment Management menerbitkan reksa dana PNM Exchange Traded Fund (ETF) Core LQ45. Penerbitan terebut dilakukan seiring prospek bisnis reksa dana ETF yang semakin cerah.,1
Reksadana pendapatan tetap bisa tumbuh double digit hingga akhir 2019,1
"Tentu saja karena di awasi oleh OJK langsung, toh sekarang sudah era digital kita sering belanja online, beli reksadana sama juga sekarang bisa online.",1
"Kerja sudah lama, tapi ya begitu... hampir tidak ada ""tabungan masa depan"" Terakhir memang ada investasi rumah tapi sudah lepas juga karena ""dipaksa"". Dulu juga ada reksadana di salah satu bank. Terus lepas juga karena…",0
Aurora AM targetkan dana kelolaan Rp 100 miliar dari produk ETF,1
"FYI, Buat teman teman yang Muslim, di reksadana juga ada reksadana Syariah. Nanti alokasi dananya akan ditempatkan ke objek investasi yang sesuai dengan prinsip syariat.",1
"Brkt nomor WA marketingnya PAM, jika mau benar benar investasi. Tambah salah lagi jika kita investasi di yang bodong2. Ampun. Dan berganda2 salahnya, terhadap yang benar,  yang sudah resmi OJK, macam PaytrenAsetManajemen,malah dibully hehe. Dunia sudah trbalik. ",0
"2 Produk ""pendapatan tetap"" sangat rekomendasi jika teman-teman ingin investasi di reksadana.",1
"Kalo memang peduli sama masa depan yang di cicil itu seharusnya investasi bukannya utang, apalagi kalau utang konsumtif, setuju guys? ",1
"Punya uang tapi bingung mau diapakan? Dipakai untuk bisnis bisa banget. Tapi kalau belum terlalu matang konsepnya, mending coba Reksa Dana. ",1
"Guys Coba Download Bibit, Aplikasi Robo-advisor untuk Investasi Reksadana Secara Gratis.Canggih Banget dan Ga Ribet. Teknologi 1-Klik Untuk Investasi Optimal. Langsung Terdiversifikasi Sesuai Dengan Profil Resiko Kamu. Secara Otomatis.",1
"Industri Reksa Dana Pesat, Dana Kelolaan Rp 505 Triliun",1
"Salah satu keresahan hati diumur 25 tahun nih! Investasi kamu sudah ada apa saja? Nah,  gue lagi mencoba belajar setelah kemarin investasi emas, sekarang #reksadana nih. Gimana sih caranya? 🙄",1
"Tahun 2020, pemerintah katanya bakal mengeluarkan SBR 10 kali. Ada banyak kesempatan, kalau yang ini kelewatan.",1
"Yuk cari tau strategi dalam menabung reksa dana. Ada 2 strategi yang umumnya digunakan oleh investor dalam menyisihkan dananya ke dalam produk reksa dana,  yaitu Strategi Lump Sum dan Dollar Cost Averaging. Apa perbedaan dari kedua strategi ini?",1
"Daripada asyik-asyik terus bermimpi, lebih baik mulai beranikan diri untuk keluar dari zona nyamanmu. Berinvestasi mulai dari Rp100 ribu di Reksa Dana, kamu sudah selangkah lebih dekat ke impianmu. Yuk?",1
Investasi bisa jadi langkah awal yang baik untuk mempersiapkan masa depanmu. Dengan investasi kamu bisa meningkatkan aset serta mempersiapkan tabungan pensiun.,1
"Masih pagi IHSG turun 1% lebih,  ini nih penyebab reksadana saham turun, tapi kalau investasi lebih dari 5 tahun masih tetap untung kok.",1
Investasi Reksa Dana Cocok bagi Generasi Milenial,1
"(1) Cek deh perbedaan tujuan menyimpan uang di tabungan dan berinvestasi di reksa dana. Untuk membiayai masa depanmu, sebaiknya kamu harus mulai mengubah kebiasaan menyisihkan uang dan menyimpannya di tabungan atau deposito. Mulailah berinvestasi di reksa dana sekarang juga.",1
"Di jaman now ini investasi reksa dana menjadi semakin mudah. Tidak ada alasan lagi bagi seseorang menunda-nunda investasi reksadana dengan alasan susah dan mahal. Semuanya sudah serba gampang, semua sudah bisa dilakukan secara online",1
Reksadana Pilihan Investasi Tepat,1
"Beli reksadana itu semudah belanja online : 1. register 2. pilih produk 3. transfer Benar, semudah ini saja. Namun banyak yang ""menyangkut"" di step no 2, nah sharing ini fokus pada langkah tersebut yaitu memilih produk.",1
"Masih ingat tidak sih jaman dulu kalau mau investasi reksadana seribet apa? Skrg adalah gampang, karena serba online, jadi bisa dari telepon genggam! ;)timo_wp",1
Kamu tipe yang baru mencoba berinvestasi? Menghindari risiko? Ingin dapat untung meski perlahan namun pasti? Weitss.. Berarti kamu cocok untuk pilih jenis reksadana pasar uang sesuai dengan karakter yang kamu miliki nih😁,1
"Berdasarkan data Otoritas Jasa Keuangan (OJK), pertumbuhan dana kelolaan industri reksa dana pada tahun ini melambat,  bahkan terendah dalam 5 tahun terakhir seiring dengan bergejolaknya pasar modal.",0
Penawaran Langsung SBN Dinilai Solusi Cepat Sepi Peminat,0
salah satu retail reksadana dan saham terbaik IPOT_FUND 👍 ayo gabung,1
Pengawasan OJK Belum Optimal ,0
"Danamas Stabil, inventasi aman dengan keuntungan yang stabil dan optimal untuk jangka waktu pendek hingga menengah.",1
"Di Mandiri Sekuritas,  Beli Reksadana Makin Mudah",1
"Masih jaman enggak memikirkan masa depan? Ayo berinvestasi reksa dana,  agar mimpi hidup sejahtera bisa menjadi nyata!",1
"beli reksadana di Bareksa makin gampang euy, bisa pakai DOKU wallet",1
"Buat yang mau mulai coba menabung di Reksa dana, mumpung dikasih hadiah",1
Persiapan danapensiun dengan berbagai cara diantaranya pada produk pasarmodal surat pemberitahuan tahunan reksadana,1
Profil risiko adalah salah satu indikator yang digunakan sebagai penilaian sejauh mana seseorang dapat mentolerir risiko dalam berinvestasi. Simak info grafis berikut ini untuk mengetahui tipe mana yang sesuai dengan Anda ;),1
" pameran ini di adakan bukan untuk pertama kalinya tetapi sudah berlangsung sejak tahun 2013 dan untuk tahun 2018 pertama kali di adakan di IPC. PAMERAN REKSA DANA! “Investasi masa depan, mudah, dan terjangkau.",1
World Investor Week diadakan setiap minggu awal bulan Oktober bertujuan untuk meningkatkan kesadaran pentingnya perlindungan dan investasi. Apa investasi yang kamu punya dan apa investasi terbaik yang harus dimiliki?,1
"Reksa Dana Terproteksi hampir bisa dibilang mirip deposito, pokok dan imbal hasil teproteksi, dan tidak dikenakan pajak.",1
Keunggulan reksa dana ketimbang instrumen lainnya adalah investasi akan dikelola oleh ahlinya yang disebut Manajer Investasi,1
Bingung mengalokasikan uang Anda? Pengen coba-coba investasi saham seperti di reksa dana? Berikut tips buat Anda para pemula sebelum melangkah untuk investasi reksa dana!,1
Berinvestasi pada Obligasi Negara hanya dengan minimum Rp. 25.000.000,1
Subhanallah strategi yang jitu .. Kenapa tidak kepikiran sisa dana ke #Reksadana ya? Baru kepikiran .. Ok mari…,1
"Dari Pada Uang Abis Buat Beli Rokok,  Mending di Tabung di Reksadana ayo !!",1
"Dana yang diinvestasikan di ReksaDana dikelola oleh ahlinya shgg menghasilkan keuntungan,  investor tinggal menikmati hasilnya.",1
"Hai guys,  ternyata reksadana pasar uang bisa kasih kita untung lebih besar dari deposito lah. Keuntungannya mencapai 6-8% setahun",1
Membeli reksadana artinya Anda menitipkan uang kepada seorang Fund Manager untuk dikelola. ,1
"Investasi Reksa Dana,  Mudah dan Menguntungkan",1
"IHSG ditutup menguat +1,14% ke level 5.831 seiring dirilisnya laporan keuangan Q1.",1
"investasi reksadana sebagai alternatif pengganti tabungan dan deposito,  likuiditas tinggi dan keuntungannya maksimal",1
Keok begini semua reksadana campuran. Mosok kinerja NAV/bulan turun minimal 6%. Kayaknya sayonara dulu deh sampai minimal bulan depan.,0
"Ngopi wajib,  lebih wajib lagi investasi, biar bisa minum kopi tiap hari, hehe..",1
"Setuju. Berhenti merokok,  mulai investasi reksadana ",1
"Harga awal perdana Reksadana ditawarkan di: Rp.1.000/unit, setelah itu harga bisa naik / turun sesuai instrumennya dan pasar.",1
reksadana bisa jadi alternatif cerdas menyimpan dana untuk keperluan keluarga. Saya pilih RD pendapatan tetap. Nah kalau RD saham untuk investasi.,1
"Brosis, penting banget nih investasi sejak dini. Mau tau reksa dana colek gue saja deh",1
"Saat indeks negatif, sebagian orang mengalami rugi dalam saham reksadana. Apa iya? Tidak juga. Hanya mereka yang tidak sabarlah yang mengalami rugi",1
PT Sinarmas Asset Management meraih 7 penghargaan dari Majalah Investor sebagai Best Mutual Fund 2016 ,1
"Sampai 8/2015 Indonesia punya 85 reksadana syariat dengan total NAB Rp10,83 miliar",1
Reksadana Terproteksi bukanlah Reksadana Bergaransi. Apa maksudnya?,0
Menarik untuk perencanaan pendidikan luar negeri dan diversifikasi portofolio investasi reksadana,1
Saatnya uang bekerja untuk anda💸🤑,1
OJK Jajaki Penjualan Reksa Dana di Minimarket ,1
Reksadana itu produk investasi terbaik yang pernah diciptakan manusia,1
Mumpung lagi ingin mentwit mau bagikan deh tentang kumpul2 kemarin bahas #reksadana. Investasi jangka pendek (&lt;1thn) mending taro di rd pasar uang,1
"ini namanya avaraging down reksadana,  sampai kapan ? sampai bottom baru habiskan cash semuanya…",0
"Kalo reksadana pasar uang, taro uangnya di produk investasi yang rendah risiko kayak deposito. Ada keuntungan wlpn tidak banyak tapi lebih aman",1
Riba itu menampak menghasilkan. Sesungguhnya memusnahkan.,0
Tertarik untuk investasi #ReksaDana Syariah?? Kenali dulu ciri-cirinya,1
Daripada banyak2an pengikut untuk debat reksadana mending AUM saja bagaimana? Oya AUM = aset under manajemen by the way.,1
"Ternyata benar, beli reksadana di CommBank_ID via internet banking subscription fee-nya diskon 50% :)",1
"Tgl 27 masuk,  tadi pagi saya keluar. Alhamdulillah dapat return 4% dari reksadana (RD). Walaupun beberapa orang bilang,  RD enggak bisa untuk trading",1
Berinvestasilah untuk jangka panjang dan sesuaikan reksadana yang kita pilih dengan tujuan keuangan kita,1
20 reksadana dengan kinerja terbaik selama 6 bulan terakhir.,1
"Bukalah bisnis, belilah properti dan investasilah pada reksadana",1
"Bahas tentang Reksadana ... makin geleng2 dengan kondisi saat ini,  banyak praktik yang berseberangan dengan Fiqh Muamalah",0
cobalah menabung di awal gajian. Sisihkan 10 sampai 30 persen dari penghasilan untuk ditabung dan dan investasi,1
"'Nutup mata' gunakan MUI sebagai dalihnya ""ZaimSaidi: ** Reksadana itu tergolong cara berinvestasi yang haram. Cari lain yang halal **""",0
"besok kita bahas mengenai tips berinvestasi di reksadana,  terima kasih :)",1
baru subscribe danareksa mawar komsumer di commonwealth. semoga oke nih haha. XD ,1
"Sakit jiwa nih yang otak kanan, niat amat mencari duitnya RT Hanya2Menit : MINAT dengan reksadana ?",0
Mari Mulai Menyisihkan Bukan Menyisakan,1
"Drpd terjebak investasibodong,  mari kembali ke investsai tradisional surat pemberitahuan tahunan reksadana saham,  lebih menguntungkan dalam jika panjang:)",1
"Alhamdulillah,  dalam 3 hari kerja dapat return (ROI) hampir 6% dari reksadana. Redeem hari Senin yang lain lain. Kebayang kalau sebulan atau setahun?",1
"Jika ingin bertanya lebih lanjut mengenai reksadana,  kunjungi Bank OCBC NISP terdekat untuk dibantu oleh orang yang profesional di bidangnya :)",1
Yess!..finally dapat artikel tentang Reksadana dari mbak PritaGhozie,1
"Krn reksadana merupakan kumpulan dana dari banyak pemodal, maka akan menghasilkan pula efisiensi biaya transaksi reksadana",1
"Praktis membelinya,  kita bisa membeli di Bank yang menjadi agen penjual/ langsung pada perusahaan Manajer Investasi.",1
"Sangat mudah untuk membuka sebuah rekening Reksadana,  semudah Anda membuka rekening tabungan Anda di bank.",1
Abis iseng-iseng mengintip performance BNP Paribas Solaris di 3 bulan belakangan ini. Lumayan juga ya 25%.,1
saatnya masuk ke REKSADANA dan FOREX :D saatnya membuat cahaya buat MasaDepan :),1
Gajian bulan depan hanya milikmu seorang reksadana haha,1
"Mgkn kebetulan,  tetapi pas Ramadhan harga emas saham turun,  reksadana juga pas murah,  hikmahnya adalah bulan ini waktu yang tepat untuk investasi !",1
"Jgn memikirkan untungnya saja,  tetapi juga risikonya. Tdk pernah ada jaminan bahwa Reksadana selalu akan profit (bahkan dalam jika panjang sekalipun).",0
"Krn reksadana trdiri dari efek obligasi & sham, maka nilai'iya/harga mengikuti nilai & harga efek tersebut. Fluktuasi bisa naik & bisa turun",1
"Reksadana diterbitkan dan dikelola oleh MI. Nah,  para MI ini adalah perusahaan-perusahaan sekuritas nasional.",1
reksadana= wadah pengelolaan dana bagi sekumpulan investor untuk berinvestasi dalam berbagai intrumen dengan cara membeli unit penyertaan.,1
Padahal alasan kita sama'gunakan jasa Fund Manager Reksadana salah satunya a/ dengan harapan kinerjanya bisa melebihi indeks sejenis. :),0
Knp memilih RDS karena prinsip low risk low return and high risk high return,1
"Tdk ada kata ragu untuk memulai,  semakin dini semakin baik,  time value of uang :D",1
"Jgn sampai dalam jangka waktu yang pendek,  nilai reksadana Anda menurun karena diinvestasikan ke jenis Reksadana yang berisiko tinggi.",1
"Yg menarik,  ETF juga tersedia kamu/ produk-2 komoditi, seperti Emas (kode: GLD),  Perak (SLV),  minyak (USO). Reksadana saya belum menemukan yang surat pemberitahuan tahunan ini.",0
Reksadana Campuran diperuntukkan bagi investor yang ingin mempunyai exposure di saham sekaligus di pendapatan tetap.,1
"Alasan berinvestasi di #reksadana = 1) mudah,  2) diversifikasi, 3) murah,  4) liquid, 5) mudah dipantau,  6) transparan, 7) pajaknya ringan",1
"habis analisa dan bandingkan dplk client dibanding dana dimasuki reksadana saham,  ternyata hasilnya jauhhhh banget ya...wkwk…",0
Jangan lupa tanyakan dana ANda akan diinvestasikan ke mana. Hal ini berhubungan dengan laba dan risiko yang akan diterima,1
Tp kalau masih single ada baiknya mencoba berinvestasi di reksadana.Kalo mau diseriusin bisa jadi untung.Kalo mau iseng duang juga tidak rugi.,1
"Beli Reksadana tidak usah pikir karena mendelegasikan keputusan pada Manajer Investasi,  tetapi jika tau ilmunya Saham bisa lebih untung",1
"ah reksadana ini bagaimana,  mau investasi saja ribet banget syaratnya ",0
Mau top-up reksadana sepertinya ketinggian terus ini *sigh*,0
"Perlu sosialisasi Pegadaian, agar mengubah stigma yang selama ini berkembang tentang Pegadaian. Salah satunya melalui media sosial.",0
Berbagai produk dan fitur pegadaian syariat bisa dijadikan platform perencanaan keuangan pribadi bagi para milenial.,1
"Kamu bisa beli SBR005 di midis resmi Kemenkeu yaitu Bank Mandiri, BRI, BNI,  BTN, BCA, Bank Permata, Bareksa,Investree, Modalku, Tanam Duit dan Trimegah. Tinggal 5 hari lagi lah.",1
"Alhamdulillah, pagi ini sudah mulai menabung emas dari PEGADAIANSYARIA",1
"Anak milenial biasanya hanya mencari uang dan kebutuhan, bahkan lebih mementingkan gengsi daripada jati diri. Sayapun lebih mementingkan harkat dan martabat orang tua daripada memikirkan diri sendiri, salah satunya dengan berinvestasi, kata Majda Jedda.",1
"Iya,  beli titipnya ada biaya titip tapi cuma tiga puluh ribu per tahun. Kecil banget kok. Nggak akan tergerus inflasi.",1
Keuntungan ini akan dikirim ke rekening kamu setiap bulan. Tenang saja karena 100% dijamin oleh Undang-Undang,1
Buka tabungan emas di Pegadaian Syariah juga mudah banget.,1
"Pegadaian syariat memiliki banyak produk yang cocok untuk milenial,  contohnya tabungan emasndan produk unggulan lainnya seperti Arrum Haji, Amanah dan Rahn Tasjily Tanah.",1
Daftar dan melakukan investasi di simpananku sekarang juga nikmati keuntungan sebesar 10% Setiap Minggunya.,1
Semangat terus menabung emas di Pegadaian Syariah,1
"Dengan modal hanya 3, 5 gram! Kamu sudah bisa terdaftar sebagai peserta haji",1
"Untuk membuka tabungan emas ini bisa dimulai sejak anak umur 12 tahun,  jadi cocok untuk yang merencanakan haji sembari menunggu giliran haji.",1
Influencer hit Mbak Aliah L Sayuti juga turut hadir mewakili geng Milenial 😁,1
"Pilih juga yang sesuai selera. Misalnya kalau ingin liquid banget, sisihin uang buat yang produk 3 bulanan.",1
"untuk tujuan jangka panjang surat pemberitahuan tahunan dana pensiun,  lebih menguntungkan investasi di RD saham yang imbal hasilnya besar",1
"untuk tujuan jangka pendek seperti dana darurat,  disarankan untuk simpan di tabungan atau investasi ke RD pasar uang ",1
Cuma 63% anak muda yang punya plan keuangan. Ini survei dari Facebook.,1
Deretan Saham yang Naik 5 Persen di Sesi Pagi Bursa,1
"IHSG Bursa Efek Indonesia terpantau merosot 2,64 persen ke posisi 4.726,74 pada perdagangan akhir pekan, Jumat (12/6/2020), pukul 09.13 JATS.",0
Peluang Investasi di Pasar Modal Indonesia di tengah Tekanan Pandemi Virus Corona,1
"Tapi tenang, di saham kamu bisa beli hanya 1 lot atau 100 lembar saham saja. Harga BBRI 3130 x 1 lot = Rp 313.000, jauh lebih murah bukan? 😁",1
Ujian nih .. Harga drop tapi chart masih on track .. Harus bagaimana ?? Ga dibahas lagi deh .. Soalnya sudah sering dibahas .. 🙏☺️,0
"Melalui surat bernomor S-274/PM.21/2020, OJK memerintahkan kepada Bursa Efek Indonesia (BEI) untuk menghentikan kegiatan perdagangan saham bila IHSG berada dalam tekanan.",0
"IHSG Anjlok, 12 BUMN Buyback Saham Hingga Rp 8 T",0
"Jumlah ini bertumbuh 8,01% dibandingkan periode yang sama tahun sebelumnya yang sebesar Rp 5,37 triliun.",1
BEI catat 64 emiten belum menyampaikan laporan keuangan tahun 2019,0
"Buah simalakama,  pilihan yang sama sama sulit. . ",0
Jumlah Penanam Modal Syariah Selama 2019 Capai 66.247 Investor,1
BEI: Pendapatan agregat perusahaan tercatat naik 4% pada 2019,1
"Ada kilau emas di bumi resources,  5 tahun ke depan bisa joged jadi 6000?7000?15000? Gada yang tau, yang pasti inflasi itu kejam kawan.",0
"Kelangsungan usaha meragukan, BEI suspensi Tiphone Mobile Indonesia",0
Perkembangan virus Corona akhir-akhir ini terus mengkhawatirkan. Hal ini berdampak pada kembali dibekukannya IHSG meski perdagangan baru dibuka selama 15 menit. Simak berita selengkapnya di sini,0
Buy on Weakness (BoW) merupakan istilah populer di pasar modal yang artinya membeli saham di harga terendah/ ketika pasar sedang dalam keadaan melemah namun berprospek mengalami kenaikan kembali dalam jangka pendek.,1
"Bursa Regional Membaik, IHSG Menghijau",1
"Semenjak melakukan penawaran saham perdananya pada 5 Desember 1989 atau 30 tahun lalu,  saham Indocement (kode INTP) terpilih masuk ke dalam beragam indeks di bursa, hal ini menunjukkan bahwa saham Indocement adalah saham yang memiliki catatan yang baik.",1
"RI Positif Corona, Saham Kimia Farma dan Indofarma Melonjak Tajam",1
"Buyback Saham BUMN Tak Kunjung Terealisasi,  IHSG Melemah",0
IHSG Akhir Pekan Ditutup Naik Terbantu Penguatan Rupiah,1
OJK-BEI Terus Pantau Pasar di Tengah Ketidakpastian akibat COVID-19,1
IHSG jebol support dan menuju ke bawah,0
"atau covid-19, emiten farmasi PT Kalbe Farma Tbk  masih mencatatkan kinerja yang apik. Emiten dengan kode KLBF itu membukukan pertumbuhan baik dari sisi penjualan maupun laba bersihnya. Sepanjang tiga bulan pertama 2020, KLBF membukukan penjualan bersih hingga Rp 5,8 triliun.",1
"Sobat OJK, perdagangan di Bursa Efek Indonesia (indonesiastockexchange) sekarang diperpendek sebagai salah satu upaya OJK mencegah penyebaran virus corona…",1
"PERDAGANGAN Saham di BursaEfekIndonesia Dihentikan Lagi,  Sudah 7 Kali IHSG Turun 5 Persenan",0
"Dapat request analisa saham. Dan ternyata session ini, saham2 bergelimpangan. Ga sabar lihat grafik Senin besok [PGAS]",1
"Nekad, Sell 33LOT di harga ternyesek; Dan BUY blu chip yang membagi deviden tinggi. Hanya ini alternatif terakhir",0
Semoga hari ini IHSG hijauuu - Portofolio masih merah,0
"Penurunan kinerja bursa saham dirasakan di semua negara. Di Indonesia, indeks harga saham gabungan (IHSG) Anjlok turun ke level 3.911.716 pada perdagangan 24 maret 2020 yang lalu. ",0
"IHSG 28 Mei Berakhir Naik; Sektor Keuangan Melonjak 3,9%",1
IHSG 26 Mei Ditutup Naik; Sektor Aneka Industri Melonjak Tinggi,1
Market itu sifatnya jelek ... Naik enggak mengajak-mengajak Turun enggak bilang-bilang Jadi trader yang tabah ya 😊,0
Exchange Trade Fund adalah Reksa Dana berbentuk Kontrak Investasi Kolektif yang unit penyertaannya diperdagangkan di Bursa Efek.,1
"Akibat Covid-19, industri otomotif mengalami pukulan berat, dimana penjualan mobil turun 90% dan motor 70% per April 2020. . Ada 1,5 juta pekerja yang hidup dan bergantung langsung pada industri ini, belum termasuk masyarakat yang berhubungan tidak langsung.",0
"Tutup Pasar Saham,  Jokowi Bangga IHSG Terbaik Kedua di Dunia ",1
"IHSG Naik Hampir 1 Persen,Rupiah Masih Terkapar Lawan Dolar AS",0
"Seru Nih dari BEI Bertajuk Investival Syariah, Ada Rekening Saham Gratisnya",1
Betul-Betul Termotivasi Untuk Makin Giat Belajar Investasi Saham...,1
"Peresmian Galeri Investasi bersama UNRIKA, Sekuritas MNC, Bursa Efek Ind…",1
Ini isi desertasi Dirut KSEI Friderica yang menyinggung soal pertumbuhan pasar modal,1
"November adalah bulan terburuk IHSG dalam 10 tahun terakhir, jadi petani-petani sahamku,  tidak ada salahnya untuk kita naikan posisi cash dulu. :)",0
"Cari pasangan itu sama anak saham, uang yang awalnya cuma receh saja di jadikan ratusanjuta,  apalagi kamu yang cuma pembantu bisa di jadikan ratu",1
PT Bursa Efek Indonesia (BEI) mengambil tindakan untuk menerapkan sistem auto reject terhadap perdagangan waran. Kenapa?,0
laju IHSG masih akan menuju level resistance sebagai upaya mengkonfirmasi penutupan gap dari Moving Average 200-Day (MA-200).,1
"Hai, Pembelajar dan Pejuang Keluarga!. Buat kamu yang ingin tahu dan mau belajar investasi reksa dana syariat,  ada acara keren yang bisa memenuhi penasaranmu. Yups, Sekolah Pasar Modal tentang Reksa Dana Syariah yang diselenggarakan oleh BursaEfekIndonesia…",1
Produk OJK pertama di Indonesia SELAMAT UNT PLAZA INDONESIA yang bisa menarik investor dari Jepang,1
"Wow, jumlah investor baru di pasar modal sudah tumbuh 8 kali lipat dari target awal",1
"Indeks Harga Saham Gabungan (IHSG) di Bursa Efek Indonesia (BEI),  Jakarta,  Jumat pagi (5/7) dibuka melemah seiring koreksi bursa saham regional Asia.",0
"Jujur Cut loss lebih sakit dari pada di putuskan cewek,  Jujur capital gain bisa bikin orang senyum senyum sendiri, di dunia trading mesti sabar,  sabar seperti menghadapi cewek yang sedang dtang bulan 😅😅 ",0
"Berpotensi Rebound, Manfaatkan Kesempatan Ini Tidak hanya lokal yang panic selling,  namun asing pun juga.. ",1
"Saham berkode JPFA pada hari ini (23/10/2019) menunjukkan sinyal akan terjadinya tren naik (bullish). Kenaikan ini bersifat swing trade, hati hati. . . . .",0
" untuk investor pemula, ada baiknya mencoba investasi di reksadana dahulu. jangan langsung inves di saham, kemudian mengalami rugi akhirnya kapok",0
"Rencana Bursa Efek Indonesia (BEI) membuka batas bawah harga saham kian bulat. Jika tak ada aral melintang,  kebijakan yang bakal memungkinkan harga saham di pasar reguler turun ke bawah level Rp.50",1
"DNS, Orang Kampung pun Bisa Menjadi Investor",1
BEI Mulai 'Melek' untuk Antisipasi Keamanan Siber,1
"Mana ada pohon yang berbuah dalam semalam. Begitu juga dengan berinvestasi, harus lebih sabar ya ",1
"Jika anda berpikir berinvestasi adalah judi, Anda salah melakukanya. Pekerjaan yang terlibat membutuhkan perencanaan dan kesabaran. Namun, keuntungan yang anda lihat dari waktu ke waktu memang menyenangkan. . .",1
Saham merupakan bukti kepemilikan suatu perusahaan yang merupakan klaim atas penghasilan dan kekayaan perseroan (Sumber: Bursa Efek Indonesia),1
